店铺名称,人均消费,分类名称,所在区域,口味评分,环境评分,服务评分,商品编号,店铺星级
廾穹概念中国菜,156,创意菜,琶洲,8.4,9.1,8.7,38212967,45
白天鹅宾馆·玉堂春暖餐厅,369,粤菜馆,沙面,9.0,9.3,9.1,520094,50
嘛嘛档,40,东南亚菜,天河城/体育中心,9.0,8.7,9.1,130600988,45
海门鱼仔店,123,潮汕菜,珠江新城,8.6,8.5,8.1,76765675,45
阿婆牛杂,21,牛杂,北京路,8.2,7.9,8.1,130934134,40
湊湊火锅,136,火锅,天河城/体育中心,8.3,8.9,8.6,130004703,40
库克石烧牛扒,119,西餐,珠江新城,9.0,8.7,9.1,90535154,45
尚莲·越泰LIAN Viet & Thai Cuisine,170,泰国菜,珠江新城,8.7,9.2,8.7,73565949,45
富力君悦大酒店·凯菲厅,432,自助餐,珠江新城,8.8,9.1,8.8,2741800,45
啫八,133,粤菜馆,滨江路,8.9,8.3,7.9,58032122,45
Poke wood海鲜波奇饭,46,海鲜,江南西,8.8,8.5,9.0,114628205,45
传记潮发牛肉店,82,潮汕牛肉火锅,北京路,9.1,8.7,9.1,68924764,50
抖蚝蒸海鲜餐厅,96,海鲜,白云区,7.1,7.0,6.7,130898683,35
等我餸上門海鮮大排檔,120,海鲜,中山七八路,8.4,8.1,8.3,113694095,45
铭门盛宴艺术海鲜姿造,426,自助餐,珠江新城,8.9,9.0,8.7,47930527,45
御前十七,90,日本料理,石牌/龙口,8.5,8.6,8.5,112601186,45
大家福美食店,58,粤菜馆,芳村,8.4,7.4,7.6,2313319,40
翅叔港式火锅·鱼翅专门店,122,广州菜,北京路,8.9,7.9,8.4,102382128,45
小鲜肉烤串,93,烤串,珠江新城,8.7,8.7,8.5,96336190,45
大猿日本料理,101,日本料理,江南西,9.0,8.8,9.1,23076961,45
mango tree芒果树餐厅,165,泰国菜,珠江新城,8.7,9.1,8.9,98932230,45
鱼意·四季佛跳墙,78,粤菜馆,天河城/体育中心,8.9,8.5,9.0,96499289,50
贝多分卜卜贝·旗舰店,42,海鲜火锅,天河城/体育中心,7.6,6.9,7.3,128966268,35
木可花房,86,西餐,北京路,7.8,9.1,8.1,123913329,40
ABC-石烧安格斯牛扒,99,西餐,北京路,8.9,9.0,9.0,24763606,45
悦厅 Living Room,255,西餐,珠江新城,8.5,9.3,9.1,38061576,50
陈添记,24,快餐简餐,上下九,8.0,6.9,7.3,518659,40
豪汤花胶火锅,124,火锅,工业大道,8.6,8.7,8.6,126915348,45
友約在鮮·港式邊爐,165,打边炉/港式火锅,环市东,9.2,9.2,9.3,123861066,45
付小姐在成都,77,串串香,华强北,8.9,8.9,9.0,130405650,45
蘩楼,88,粤菜馆,华强北,9.0,9.1,8.9,111515699,50
花茸粤色,120,打边炉/港式火锅,市中心区,8.4,9.0,8.6,113104854,45
陶陶居酒家,116,粤菜馆,海岸城,8.8,8.8,8.9,108332969,45
山禾田日式料理,93,日本料理,国贸,8.9,8.9,8.8,127000254,50
潮香四海·正宗潮汕风味,86,潮汕菜,南油,9.1,8.4,8.9,98320322,50
利宝阁,158,粤菜馆,市中心区,8.8,9.1,8.5,15104339,45
桂满陇·西湖船宴,93,浙菜,市中心区,8.0,9.2,8.6,92760092,45
詠藜園·香港米其林餐厅,107,粤菜馆,华强北,8.3,8.8,8.5,96391537,40
姜虎东白丁烤肉,138,韩国料理,市中心区,8.7,8.4,8.5,76740244,45
有拈头成都市井火锅,103,四川火锅,南山中心区,8.9,9.0,8.9,123924786,45
小炳胜,114,广州菜,海岸城,8.0,8.3,8.3,122486153,40
蔡澜港式点心,89,粤菜馆,科技园,8.7,8.6,8.7,123850755,45
江味龙虾馆,127,小龙虾,南头,9.1,9.0,9.1,57880853,50
文和友老长沙龙虾馆,128,小龙虾,梅林,8.6,8.4,8.1,96268629,45
Royal Stacks,81,西餐,市中心区,7.8,8.0,8.1,129282724,40
朝夕天台帐篷火锅,119,四川火锅,龙岗区,9.1,9.3,9.2,130155594,50
费大厨辣椒炒肉,71,湘菜,市中心区,8.7,8.7,8.7,124547806,45
食觸空間火锅,78,火锅,岗厦,9.0,9.1,9.0,130650064,50
火堯火锅,319,火锅,南山中心区,9.2,9.3,9.4,113182842,50
和牛食验室WagyuLab,1603,日式烧烤/烤肉,市中心区,9.1,9.3,9.3,121865736,50
半饱半醉,96,私房菜,科技园,7.6,8.3,7.9,94024802,40
八合里海记,90,潮汕牛肉火锅,海岸城,9.1,8.6,8.5,69489452,50
个斑马音乐烧烤吧,110,烧烤,香蜜湖,8.8,8.7,8.6,51439514,45
李记湛光蚝莊,103,烧烤,白石洲,8.8,7.4,7.6,14169125,45
港嘢香港小食,39,茶餐厅,黄贝岭,8.2,7.6,8.2,91061957,40
炳胜品味,274,广州菜,深圳湾,8.5,9.0,8.5,124477417,45
